time,accelx,accely,accelz,gyrox,gyroy,gyroz,magx,magy,magz,altitude
3093960000000,9.80099,-0.827916,1.02891,0.00733038,0.0160352,-0.00259618,-7.45396,-17.3926,-3.66852,9.41992
3094040000000,9.77228,-0.760917,1.34477,0.010232,-0.00519235,-0.000763581,-7.14703,-17.0564,-2.96697,9.58896
3094110000000,9.80578,-0.765703,0.990628,0.0128282,-0.0206167,0.00229074,-7.52704,-17.378,-3.05466,9.41992
3094190000000,9.84885,-0.794416,0.579063,0.00687223,-0.00351247,0.00366519,-7.48319,-17.2318,-3.8439,9.41992
3094270000000,9.80099,-0.847059,0.880558,0,0.0172569,0.00381791,-7.55627,-17.3341,-3.14235,10.3495
3094340000000,9.76271,-0.837487,1.33519,-0.00106901,0.00641408,0.00198531,-7.42473,-17.4364,-3.2739,10.5397
3094420000000,9.78185,-0.837487,1.17248,0.0142026,-0.0172569,0.000916298,-6.94241,-17.1587,-2.5285,9.58896
3094500000000,9.83928,-0.82313,0.689132,0.0218384,-0.0151189,-0.00122173,-6.91318,-17.2318,-2.87927,9.41992
3094570000000,9.8345,-0.813559,0.708275,0.00931569,0.00870483,-0.00213803,-7.46857,-17.0418,-2.73312,9.41992
3094650000000,9.78185,-0.775274,1.12463,0.00702495,0.0143553,0.000152716,-7.14703,-17.071,-2.85004,9.41992
3094730000000,9.81057,-0.722632,1.25862,0.0056505,-0.00274889,0.00198531,-7.3078,-16.9541,-2.98158,9.41992
3094800000000,9.79142,-0.74656,0.808774,0.00641408,-0.0129809,0.00366519,-7.26395,-17.2757,-2.90851,9.41992
3094880000000,9.83928,-0.923629,0.516849,0.029627,0.00870483,-0.00198531,-7.19088,-17.4656,-2.86466,9.3143
3094960000000,9.75314,-1.05284,1.44048,-0.022602,0.0233656,-0.00519235,-7.3078,-17.4364,-2.58696,10.6242
3095030000000,9.80099,-0.574277,1.32562,0.0456622,-0.00519235,-0.00397062,-7.41011,-16.9541,-3.24467,10.0115
3095100000000,26.3928,-0.612562,1.11505,0.137445,-0.00198531,-0.0332921,-8.03858,-16.8372,-4.34083,7.94101
3095180000000,135.855,-1.45962,1.11984,3.3199,0.207541,-0.168446,-8.22859,-17.1295,-10.1578,9.3143
3095260000000,143.497,-0.555135,0.789631,3.35777,-0.160505,0.186772,-7.48319,-20.608,-17.9187,12.5257
3095330000000,146.871,-4.98185,0.617348,4.41594,-0.159436,0.105374,-7.46857,-24.6127,-21.9965,14.8708
3095410000000,145.574,-2.43111,2.85224,4.57904,-0.330936,0.131489,-7.70243,-30.0643,-25.6796,20.4063
3095480000000,144.273,-0.354137,2.77567,4.99825,-0.481209,0.134238,-8.87167,-36.4952,-25.0073,28.3713
3095560000000,141.88,1.27298,1.89511,5.0036,-0.561843,0.0975857,-9.2663,-44.1391,-19.0149,36.273
3095640000000,135.563,3.01017,1.05763,5.0036,-0.542906,0.109039,-9.93861,-50.3508,-8.5209,46.8579
3095710000000,123.316,4.00558,0.22014,5.0036,-0.466395,-0.0847575,-10.0848,-51.6808,6.53317,58.3302
3095790000000,70.4016,3.67059,-0.751346,5.0036,-0.723264,-0.324064,-9.89477,-43.2768,20.1695,67.8799
3095870000000,27.6371,3.44566,-0.0717846,5.0036,-0.77305,-0.178067,-9.20783,-26.3227,19.6141,74.7674
3095940000000,-7.98245,3.15374,-1.45005,5.0036,-0.520457,-0.270002,-7.83397,-17.0856,2.26542,81.993
3096020000000,-8.10209,2.71825,-2.05783,5.0036,-0.658055,-0.342695,-7.92166,-23.6334,-17.7726,87.7503
3096100000000,-7.39382,3.69452,-0.727417,5.0036,-0.61285,-0.137292,-8.50628,-41.1429,-20.5934,91.5955
3096170000000,-7.17846,3.60359,-2.97667,5.0036,-0.511141,-0.242208,-9.03244,-53.0839,-2.70389,97.8704
3096250000000,-7.00618,2.46939,-1.81376,5.0036,-0.687529,-0.113621,-8.84244,-47.8223,17.8603,103.459
3096320000000,-6.6664,3.70409,-3.05803,5.0036,-0.495717,-0.0232129,-8.74013,-29.772,21.0465,108.878
3096400000000,-6.4989,2.80439,-3.50788,5.0036,-0.55604,-0.0717766,-7.74627,-17.1149,3.4639,113.072
3096480000000,-6.17348,2.45503,-3.32602,5.0036,-0.590707,0.0216857,-7.70243,-22.1719,-16.5156,120.149
3096550000000,-5.92463,3.01017,-3.62752,5.0036,-0.517097,0.0917825,-8.03858,-36.3198,-22.2596,124.523
